judg_2010_1,spacy,2,Penal Code,"{'start': 181, 'end': 191, 'label': 'LAW'}"
judg_2010_1,spacy,46,section 187(1,"{'start': 86, 'end': 99, 'label': 'LAW'}"
judg_2010_1,spacy,51,the Penal Code,"{'start': 127, 'end': 141, 'label': 'LAW'}"
judg_2010_1,spacy,82,section 328,"{'start': 33, 'end': 44, 'label': 'LAW'}"
judg_2010_1,spacy,86,Constitution,"{'start': 29, 'end': 41, 'label': 'LAW'}"
judg_2010_1,spacy,86,Constitution,"{'start': 106, 'end': 118, 'label': 'LAW'}"
judg_2010_1,spacy,86,Act,"{'start': 313, 'end': 316, 'label': 'LAW'}"
judg_2010_1,spacy,86,the Official Secrets Act,"{'start': 320, 'end': 344, 'label': 'LAW'}"
judg_2010_1,spacy,86,section 4(1,"{'start': 376, 'end': 387, 'label': 'LAW'}"
judg_2010_1,spacy,86,Act,"{'start': 396, 'end': 399, 'label': 'LAW'}"
judg_2010_1,spacy,93,Freedom of Information Act 2000,"{'start': 115, 'end': 146, 'label': 'LAW'}"
judg_2010_1,spacy,93,the Data Protection Act,"{'start': 151, 'end': 174, 'label': 'LAW'}"
judg_2010_1,spacy,95,Section 356,"{'start': 42, 'end': 53, 'label': 'LAW'}"
judg_2010_1,er_pm,2,"section 331, Penal","{'start': 168, 'end': 186, 'label': 'LAW'}"
judg_2010_1,er_pm,46,section 187(1) of,"{'start': 86, 'end': 103, 'label': 'LAW'}"
judg_2010_1,er_pm,51,section 331 of the,"{'start': 112, 'end': 130, 'label': 'LAW'}"
judg_2010_1,er_pm,82,section 328 (l) Penal,"{'start': 33, 'end': 54, 'label': 'LAW'}"
judg_2010_1,er_pm,86,section 37 of the,"{'start': 88, 'end': 105, 'label': 'LAW'}"
judg_2010_1,er_pm,86,section 4(1) of,"{'start': 376, 'end': 391, 'label': 'LAW'}"
judg_2010_1,er_pm,95,Section 356 Criminal Procedure,"{'start': 42, 'end': 72, 'label': 'LAW'}"
judg_2010_1,er_pm,2, Penal Code,"{'start': 180, 'end': 191, 'label': 'LAWNAME'}"
judg_2010_1,er_pm,46, Criminal Procedure and Evidence Code,"{'start': 107, 'end': 144, 'label': 'LAWNAME'}"
judg_2010_1,er_pm,51, Penal Code,"{'start': 130, 'end': 141, 'label': 'LAWNAME'}"
judg_2010_1,er_pm,82, Penal Code,"{'start': 48, 'end': 59, 'label': 'LAWNAME'}"
judg_2010_1,er_pm,86, Official Secrets Act,"{'start': 323, 'end': 344, 'label': 'LAWNAME'}"
judg_2010_1,er_pm,95, Criminal Procedure and Evidence Code,"{'start': 53, 'end': 90, 'label': 'LAWNAME'}"
judg_2010_10,spacy,4,section 51,"{'start': 96, 'end': 106, 'label': 'LAW'}"
judg_2010_10,spacy,4,section 50(1,"{'start': 130, 'end': 142, 'label': 'LAW'}"
judg_2010_10,spacy,5,Constitution,"{'start': 141, 'end': 153, 'label': 'LAW'}"
judg_2010_10,spacy,6,the Courts Act,"{'start': 556, 'end': 570, 'label': 'LAW'}"
judg_2010_10,spacy,6,section 26,"{'start': 572, 'end': 582, 'label': 'LAW'}"
judg_2010_10,spacy,14,Constitution,"{'start': 54, 'end': 66, 'label': 'LAW'}"
judg_2010_10,spacy,16,section 197,"{'start': 6, 'end': 17, 'label': 'LAW'}"
judg_2010_10,spacy,16,section 202,"{'start': 203, 'end': 214, 'label': 'LAW'}"
judg_2010_10,spacy,16,section 230,"{'start': 488, 'end': 499, 'label': 'LAW'}"
judg_2010_10,spacy,21,Section 50(1)(a,"{'start': 293, 'end': 308, 'label': 'LAW'}"
judg_2010_10,spacy,21,Section 51,"{'start': 338, 'end': 348, 'label': 'LAW'}"
judg_2010_10,spacy,22,the Penal Code,"{'start': 51, 'end': 65, 'label': 'LAW'}"
judg_2010_10,spacy,30,Constitution,"{'start': 822, 'end': 834, 'label': 'LAW'}"
judg_2010_10,er_pm,4,section 51 (l)(a)(b) as,"{'start': 96, 'end': 119, 'label': 'LAW'}"
judg_2010_10,er_pm,4,section 50(1 of,"{'start': 130, 'end': 145, 'label': 'LAW'}"
judg_2010_10,er_pm,6,section 26] and,"{'start': 572, 'end': 587, 'label': 'LAW'}"
judg_2010_10,er_pm,14,Section 42(2)(f) of,"{'start': 30, 'end': 49, 'label': 'LAW'}"
judg_2010_10,er_pm,15,Section 195 of the,"{'start': 24, 'end': 42, 'label': 'LAW'}"
judg_2010_10,er_pm,16,section 197 of the,"{'start': 6, 'end': 24, 'label': 'LAW'}"
judg_2010_10,er_pm,16,section 202 of the,"{'start': 203, 'end': 221, 'label': 'LAW'}"
judg_2010_10,er_pm,16,section 230 of the,"{'start': 488, 'end': 506, 'label': 'LAW'}"
judg_2010_10,er_pm,21,section under which,"{'start': 247, 'end': 266, 'label': 'LAW'}"
judg_2010_10,er_pm,21,Section 50(1)(a) defines,"{'start': 293, 'end': 317, 'label': 'LAW'}"
judg_2010_10,er_pm,21,Section 51 (1) creates,"{'start': 338, 'end': 360, 'label': 'LAW'}"
judg_2010_10,er_pm,22,Sections 51 and 50 of,"{'start': 29, 'end': 50, 'label': 'LAW'}"
judg_2010_10,er_pm,28,sections 202 or 230,"{'start': 737, 'end': 756, 'label': 'LAW'}"
judg_2010_10,er_pm,28,"sections 195, 202","{'start': 887, 'end': 904, 'label': 'LAW'}"
judg_2010_10,er_pm,6, Courts Act,"{'start': 559, 'end': 570, 'label': 'LAWNAME'}"
judg_2010_10,er_pm,6, Criminal Procedure and Evidence Code,"{'start': 596, 'end': 633, 'label': 'LAWNAME'}"
judg_2010_10,er_pm,6,CP&EC],"{'start': 635, 'end': 641, 'label': 'LAWNAME'}"
judg_2010_10,er_pm,15, CP&EC,"{'start': 42, 'end': 48, 'label': 'LAWNAME'}"
judg_2010_10,er_pm,22, Penal Code,"{'start': 54, 'end': 65, 'label': 'LAWNAME'}"
