judg_2011_1,er_pm,1,section 309 Penal Code on,83,108, Introduction The Appellants were charged with the offence of burglary contrary to section 309 Penal Code on the 1st count and theft contrary to section 278 Penal Code on the second count. The particulars were that the Appellants on or about the 27th day of December 2008 at Livingstonia in the District of Rumphi broke and entered The dwelling house of Soraya Van Rooy with the intent to steal therein. On the second count it was alleged the Appellants at the same time and place as stated in the first count stole two traveling bags containing various items the property of Soraya Van Rooy.
judg_2011_1,er_pm,1,section 278 Penal Code,145,167, Introduction The Appellants were charged with the offence of burglary contrary to section 309 Penal Code on the 1st count and theft contrary to section 278 Penal Code on the second count. The particulars were that the Appellants on or about the 27th day of December 2008 at Livingstonia in the District of Rumphi broke and entered The dwelling house of Soraya Van Rooy with the intent to steal therein. On the second count it was alleged the Appellants at the same time and place as stated in the first count stole two traveling bags containing various items the property of Soraya Van Rooy.
judg_2011_1,er_pm,30,section 187(1) of the Criminal Procedure and Evidence Code,236,294,Burden and Standard of Proof It is trite that in this matter the State was duty bound to prove each and every element of this offence and the standard required by the criminal law is beyond a reasonable doubt. The relevant provision is section 187(1) of the Criminal Procedure and Evidence Code.
judg_2011_1,er_pm,35,Section and Law,0,15,Section and Law The charge section is 309 of the Penal Code. The elements of the offence are clearly spelt out as follows:
judg_2011_1,er_pm,35,section is 309 of,27,44,Section and Law The charge section is 309 of the Penal Code. The elements of the offence are clearly spelt out as follows:
judg_2011_1,er_pm,35,the Penal Code,45,59,Section and Law The charge section is 309 of the Penal Code. The elements of the offence are clearly spelt out as follows:
judg_2011_11,er_pm,1,section 286 (1) of,143,161," Introduction The Appellant appeared before the First Grade Magistrate Court sitting at Karonga under a charge of theft by servant contrary to section 286 (1) of the Penal Code. It was alleged that the Appellant on or about the 15th day of November 2010 at 06:00 hours at Songwe market in the district of Karonga, being a driver employed by Pezani General Dealers stole 101 bales of sugar valued at K298,960.00 the property of Pezani General Dealers."
judg_2011_11,er_pm,1,the Penal Code,162,176," Introduction The Appellant appeared before the First Grade Magistrate Court sitting at Karonga under a charge of theft by servant contrary to section 286 (1) of the Penal Code. It was alleged that the Appellant on or about the 15th day of November 2010 at 06:00 hours at Songwe market in the district of Karonga, being a driver employed by Pezani General Dealers stole 101 bales of sugar valued at K298,960.00 the property of Pezani General Dealers."
judg_2011_11,er_pm,21,section 187(1) of the Criminal Procedure and Evidence Code,298,356,Burden and Standard of Proof As is always the case in criminal matters the State was duty bound to prove each and every element of this offence and the standard required by the criminal law is beyond a reasonable doubt. This has been the position at law in this Republic. The relevant provision is section 187(1) of the Criminal Procedure and Evidence Code.
judg_2011_11,er_pm,26,Section and Law Section 278 of the Penal Code,8,53,Offence Section and Law Section 278 of the Penal Code is couched in the following terms:
judg_2011_11,er_pm,28,Section 286(1) of,0,17,"Section 286(1) of the Penal Code provides: ""If the offender is a clerk or servant and the thing stolen is the property of his employer or came into possession of the offender on account of his employer, he shall be liable to imprisonment for 14 years. '"
judg_2011_11,er_pm,28,the Penal Code,18,32,"Section 286(1) of the Penal Code provides: ""If the offender is a clerk or servant and the thing stolen is the property of his employer or came into possession of the offender on account of his employer, he shall be liable to imprisonment for 14 years. '"
judg_2011_11,er_pm,29,section 278 Penal Code,155,177,The Elements For the state to secure a conviction they must prove the following: (a) Taking of some property capable of being stolen within the meaning in section 278 Penal Code. (b) The accused must be a servant of the complainant at the time of stealing. (c) Property stolen must belong to the employer.
judg_2011_12,er_pm,1, reserved,108,117,On 10th August 2011 this CQurt acquitted both Chakwera Jaljsoni and Shadreck Banda on a charge of murder and reserved the reasonsfor that decision. Thefollowing is a detailed discussion of the legal basis
judg_2011_12,er_pm,2,section 209 of the Penal Code,95,124," for my court's decision then. The two were indicted jointly on a charge of murder contrary to section 209 of the Penal Code. The Chakwera Jalisoni and Shadreck Bandg on or about' 'théE28Lh€tfäfFföf<Februar'yE 2011k atw Chikurnb& with, malice aforethought' caused the of Timothy Edward.„Both• suspects denied the charge -in court full trial ensued."
judg_2011_12,er_pm,61,"Section 209, of",41,56,"ln_QFder.to rthe offence of murder under Section 209, of the Penal Code there must >e.proof of death Whigh has been caused.b:y. an unlawful act attributed to the accused person who must further"
judg_2011_12,er_pm,61,the Penal Code,57,71,"ln_QFder.to rthe offence of murder under Section 209, of the Penal Code there must >e.proof of death Whigh has been caused.b:y. an unlawful act attributed to the accused person who must further"
